incidentDate,state,cityOrCounty,address,killed,injured,operations: d.operations,type,age
12-Jul-14,California,Pasadena,1700 block of Summit Avenue,3,2,N/A,Mass Shooting,
11-Jul-14,Illinois,Chicago,5200 West Quincy Street,1,3,N/A,Mass Shooting,
09-Jul-14,Texas,Spring,711 Leaflet Lane,6,1,N/A,Mass Shooting,
08-Jul-14,Rhode Island,Providence,35 March Street,0,5,N/A,Mass Shooting,
07-Jul-14,Kentucky,Stopover,KY 194E,0,4,N/A,Mass Shooting,
07-Jul-14,California,San Bernardino,312  E Baseline Street ,1,4,N/A,Mass Shooting,
06-Jul-14,Florida,Miami,NW 20th Ave and NW 62nd St,2,2,N/A,Mass Shooting,
06-Jul-14,Missouri,Saint Louis,4600 block of Natural Bridge Avenue,0,4,N/A,Mass Shooting,
06-Jul-14,New York,Buffalo,100 block of Erb Street,0,4,N/A,Mass Shooting,
05-Jul-14,Michigan,Kalamazoo,N/A,0,4,N/A,Mass Shooting,
05-Jul-14,Oregon,Portland,333 SE 122ND Ave,1,4,N/A,Mass Shooting,
05-Jul-14,Indiana,Indianapolis,Broad Ripple Avenue,0,7,N/A,Mass Shooting,
05-Jul-14,Illinois,Centreville,4700 Piggott Avenue,0,5,N/A,Mass Shooting,
05-Jul-14,Texas,Houston,1700 Almeda-Genoa,0,6,N/A,Mass Shooting,
05-Jul-14,Virginia,Norfolk,861 W. 36th Street,0,7,N/A,Mass Shooting,
04-Jul-14,Virginia,Norfolk,1722 Thurgood Street,0,5,N/A,Mass Shooting,
02-Jul-14,Pennsylvania,Chester,1400 block of West Congress Street,0,5,N/A,Mass Shooting,
30-Jun-14,Kentucky,Lexington,Scottsdale Circle,1,3,N/A,Mass Shooting,
29-Jun-14,California,Los Angeles,1100 block of North Vermont Avenue,1,5,N/A,Mass Shooting,
29-Jun-14,Louisiana,New Orleans,700 Bourbon Street,1,9,N/A,Mass Shooting,
29-Jun-14,Missouri,Saint Louis,2800 block of Dayton,0,4,N/A,Mass Shooting,
28-Jun-14,California,Antioch,5500 Cedar Point Way,0,7,N/A,Mass Shooting,
28-Jun-14,New York,Manhattan,Fifth Avenue and West 139th Street,0,4,N/A,Mass Shooting,
27-Jun-14,California,San Diego,1800 block of Cathy Street,1,3,N/A,Mass Shooting,
27-Jun-14,California,San Diego,1600 block of Cathy Street,1,3,N/A,Mass Shooting,
27-Jun-14,Michigan,Detroit,Grand Street and Lasalle Street,2,2,N/A,Mass Shooting,
26-Jun-14,Michigan,Detroit,Grand St,2,2,N/A,Mass Shooting,
26-Jun-14,Wisconsin,Milwaukee,24th and Locust,0,5,N/A,Mass Shooting,
25-Jun-14,Massachusetts,Lowell,Midland Street,0,5,N/A,Mass Shooting,
24-Jun-14,Florida,Miami,Northwest 12th Avenue and 65th Street,2,7,N/A,Mass Shooting,
22-Jun-14,California,Windsor,Windsor Avenue,1,3,N/A,Mass Shooting,
21-Jun-14,District of Columbia,Washington,Florida Avenue and U Street NW,0,4,N/A,Mass Shooting,
21-Jun-14,Tennessee,Memphis,2119 East Alcy Road,0,5,N/A,Mass Shooting,
20-Jun-14,Maryland,Seat Pleasant,6600 block of Greig Street,0,4,N/A,Mass Shooting,
15-Jun-14,Indiana,Kokomo,5100 Clinton Drive,0,4,N/A,Mass Shooting,
15-Jun-14,Illinois,Park Forest,200 Berry Street,0,4,N/A,Mass Shooting,
13-Jun-14,California,Los Angeles,8600 block of South Figueroa Street,3,1,N/A,Mass Shooting,
09-Jun-14,New Jersey,Paterson,Rosa Parks Boulevard and Godwin Avenue,0,6,N/A,Mass Shooting,
08-Jun-14,Alabama,Opp,611 Hardin Street,1,4,N/A,Mass Shooting,
07-Jun-14,Michigan,Oak Park,10811 W. Ten Mile Rd.,1,3,N/A,Mass Shooting,
07-Jun-14,South Carolina,Moncks Corner,Tish Lane,1,5,N/A,Mass Shooting,
03-Jun-14,Georgia,Atlanta,Auburn Avenue,1,4,N/A,Mass Shooting,
02-Jun-14,Illinois,Chicago,2660 E. 79th St,0,7,N/A,Mass Shooting,
01-Jun-14,Illinois,Chicago,West Ferdinand Street and North Lavergne Avenue ,1,5,N/A,Mass Shooting,
01-Jun-14,California,Sacramento,6500 46th Street,0,4,N/A,Mass Shooting,
31-May-14,California,San Bernardino,N/A,1,3,N/A,Mass Shooting,
25-May-14,Ohio,Toledo,2100 block of Joffre Avenue,1,3,N/A,Mass Shooting,
24-May-14,Michigan,Detroit,Strathmoor Street,0,4,N/A,Mass Shooting,
24-May-14,South Carolina,Myrtle Beach,Ocean Boulevard near First Avenue North,3,1,N/A,Mass Shooting,
23-May-14,California,Goleta (Isla Vista),840 Embarcadero Del Norte,4,8,N/A,Mass Shooting,
23-May-14,Louisiana,New Orleans,6200 block of Eads Street,1,7,N/A,Mass Shooting,
23-May-14,California,Bellflower,9541 Flower Street,2,2,N/A,Mass Shooting,
21-May-14,Texas,Dallas,4500 block of Village Fair Drive,1,3,N/A,Mass Shooting,
18-May-14,Ohio,Sandusky,1643 Cleveland Rd,0,7,N/A,Mass Shooting,
17-May-14,California,Coachella,84000 block of Pedro Drive,1,3,N/A,Mass Shooting,
17-May-14,District of Columbia,Washington,2200 block of Adams Place NE,0,5,N/A,Mass Shooting,
13-May-14,Georgia,Atlanta,Panther Trail and Childress Drive,0,5,N/A,Mass Shooting,
12-May-14,Illinois,Chicago,3400 West 24th Street,0,4,N/A,Mass Shooting,
11-May-14,California,Sacramento,Peregrine Park,1,6,N/A,Mass Shooting,
11-May-14,Tennessee,Memphis,2517 Shasta,0,7,N/A,Mass Shooting,
10-May-14,Georgia,Stone Mountain,1100 To Lani Farm Road,1,3,N/A,Mass Shooting,
10-May-14,Georgia,Decatur,Shamrock Drive ,2,3,N/A,Mass Shooting,
10-May-14,California,Sacramento,Natomas,1,6,N/A,Mass Shooting,
04-May-14,Colorado,Wheat Ridge,12100 W 44th,0,4,N/A,Mass Shooting,
04-May-14,Illinois,Chicago,500 West Erie Street,1,3,N/A,Mass Shooting,
03-May-14,Arkansas,Jonesboro,2201 Moore Road; Dalton Farmer Drive; County Road 664,4,4,N/A,Mass Shooting,
30-Apr-14,Illinois,Chicago,7200 South Phillips Avenue,0,4,N/A,Mass Shooting,
29-Apr-14,Georgia,Kennesaw,1675 Airport Road,1,6,N/A,Mass Shooting,
27-Apr-14,New York,Troy,Fourth Street,0,5,N/A,Mass Shooting,
25-Apr-14,Tennessee,Memphis,2000 Chelsea Avenue,2,3,N/A,Mass Shooting,
22-Apr-14,California,Los Angeles,6419 Brynhurst Avenue,1,3,N/A,Mass Shooting,
20-Apr-14,Illinois,Montgomery,1300 block of Jackson Street,0,6,N/A,Mass Shooting,
20-Apr-14,Florida,Tampa,2902 N. 32nd St.,2,2,N/A,Mass Shooting,
20-Apr-14,Illinois,Chicago,6600 South Michigan Ave,0,5,N/A,Mass Shooting,
14-Apr-14,District of Columbia,Washington,1500 block of 19th Street,0,4,N/A,Mass Shooting,
12-Apr-14,Louisiana,New Orleans,2100 block of Pauger Street,1,3,N/A,Mass Shooting,
